,latitude,longitude,cities,countrycode,kmeans_label,db_label
514,30.58333,114.26666999999999,Wuhan,CN,1,1
515,-33.29501,-66.33563000000001,San Luis,AR,3,0
517,-35.28346,149.12807,Canberra,AU,1,3
518,28.49615,77.53601,Greater Noida,IN,1,1
519,26.6359,-80.09615,Palm Springs,US,0,0
521,28.81082,-81.87786,Leesburg,US,0,0
525,10.58705,-61.13008000000001,Sangre Grande,TT,3,0
526,-25.29167,-49.22417,Colombo,BR,3,0
527,9.02497,38.74689,Addis Ababa,ET,2,4
528,28.073890000000002,-82.43902,University,US,0,0
529,42.682790000000004,-89.01872,Janesville,US,0,0
530,34.63813,-99.33398000000001,Altus,US,0,0
531,25.77427,-80.19366,Miami,US,0,0
532,15.3275,120.9192,Jaen,PH,1,1
533,55.952059999999996,-3.1964799999999998,Edinburgh,GB,2,2
534,26.08061,-98.28835,Reynosa,MX,0,0
535,36.20773,-119.34733999999999,Tulare,US,0,0
536,13.08784,80.27847,Chennai,IN,1,1
537,42.57509,-70.93005,Danvers,US,0,0
538,25.77427,-80.19366,Miami,US,0,0
540,35.08449,-106.65113999999998,Albuquerque,US,0,0
541,40.65844,-74.29959000000001,Cranford,US,0,0
542,32.50931,-92.1193,Monroe,US,0,0
543,40.16523,-111.61075,Springville,US,0,0
544,9.73586,-75.52626,San Onofre,CO,3,0
545,55.752219999999994,37.615559999999995,Moscow,RU,2,-1
546,41.52519,-88.0834,Joliet,US,0,0
547,12.60961,102.10446999999999,Chanthaburi,TH,1,1
548,33.95621,-83.98796,Lawrenceville,US,0,0
550,-7.87472,-35.45028,Limoeiro,BR,3,0
551,7.377560000000001,3.90591,Ibadan,NG,2,5
552,41.505320000000005,-82.0282,Avon Lake,US,0,0
553,-4.32758,15.31357,Kinshasa,CD,2,5
554,37.83615,-87.59000999999999,Henderson,US,0,0
555,28.03947,-81.9498,Lakeland,US,0,0
556,44.04996,-91.63932,Winona,US,0,0
557,34.23676,-84.49076,Canton,US,0,0
558,40.81538,-73.11233,Ronkonkoma,US,0,0
560,41.1176,-73.4079,Norwalk,US,0,0
561,42.41843,-71.10616,Medford,US,0,0
562,37.974759999999996,-87.55585,Evansville,US,0,0
563,32.51599,-93.73212,Bossier City,US,0,0
564,13.35,123.55,San Jose,PH,1,1
565,55.952059999999996,-3.1964799999999998,Edinburgh,GB,2,2
566,34.00288,-84.14464,Duluth,US,0,0
568,36.84681,-76.28522,Norfolk,US,0,0
569,-22.88583,-48.445,Botucatu,BR,3,0
570,38.75095,-77.47527,Manassas,US,0,0
571,36.06258,-94.15743,Fayetteville,US,0,0
572,43.3601,-80.31269,Cambridge,CA,0,0
573,37.75,140.46667,Fukushima,JP,1,1
574,25.77427,-80.19366,Miami,US,0,0
575,39.04455,-77.11887,North Bethesda,US,0,0
577,23.017970000000002,113.74866000000002,Dongguan,CN,1,1
578,17.25,-88.76666999999999,Belmopan,BZ,0,0
579,32.72532,-114.6244,Yuma,US,0,0
580,36.21398,-83.29489000000001,Morristown,US,0,0
581,37.08423,-94.51328000000001,Joplin,US,0,0
583,40.74705,-73.86014,Corona,US,0,0
584,37.64563,-84.77216999999999,Danville,US,0,0
586,46.54354,-87.39542,Marquette,US,0,0
587,33.83529,-117.9145,Anaheim,US,0,0
588,-3.1019400000000004,-60.025,Manaus,BR,3,0
589,7.98654,-75.19349,Caucasia,CO,3,0
590,44.00011,-79.46632,Aurora,CA,0,0
591,53.48095,-2.23743,Manchester,GB,2,2
592,16.483439999999998,99.52153,Kamphaeng Phet,TH,1,1
593,-16.4332,179.36451,Labasa,FJ,1,6
594,46.87719,-96.7898,Fargo,US,0,0
595,32.62781,-115.45446000000001,Mexicali,MX,0,0
596,40.82565,-73.20260999999999,Hauppauge,US,0,0
597,37.668820000000004,-122.0808,Hayward,US,0,0
600,28.01888,-82.11469,Plant City,US,0,0
601,15.35472,44.20667,Sanaa,YE,2,4
602,25.93315,-80.16255,North Miami Beach,US,0,0
603,-33.920190000000005,151.22241,Kensington,AU,1,3
605,39.77978,-84.1241,Riverside,US,0,0
606,44.4583,-93.1616,Northfield,US,0,0
607,32.50931,-92.1193,Monroe,US,0,0
608,42.13949,-83.17826,Trenton,US,0,0
609,13.701670000000002,-89.10944,Ilopango,SV,0,0
610,34.898590000000006,-117.02282,Barstow,US,0,0
611,24.09082,32.89942,Aswan,EG,2,4
612,41.50087,-90.4443,East Moline,US,0,0
613,34.05557,-117.18253999999999,Redlands,US,0,0
614,47.55839,7.57327,Basel,CH,2,2
615,11.45332,104.52085,Kampong Speu,KH,1,1
